Name,Beds,Baths,Price:,Deposit,Waitlist,Available Units,Size (sq feet),Link,Apartment,Image
25th W - 4 Bed - 2 Bath A,4,2,$929,0,0,2,"1,536 - 1,668",https://www.theblockwestcampus.com//Brochure/25th-W---4-Bed---2-Bath-A?siteId=6511284&fId=9218464,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760400/640x640/67760400.png
23rd - 4 Bed - 2 Bath A,4,2,$939,0,0,2,"1,576",https://www.theblockwestcampus.com//Brochure/23rd---4-Bed---2-Bath-A?siteId=6511284&fId=9218397,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759610/640x640/67759610.png
25th W - 4 Bed - 4 Bath A,4,4,$979,0,0,1,"1,356",https://www.theblockwestcampus.com//Brochure/25th-W---4-Bed---4-Bath-A?siteId=6511284&fId=9218467,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760418/640x640/67760418.png
25th E - 5 Bed - 4 Bath A,5,4,$989,0,0,1,"2,495",https://www.theblockwestcampus.com//Brochure/25th-E---5-Bed---4-Bath-A?siteId=6511284&fId=9218445,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760156/640x640/67760156.png
28th - 4 Bed - 4 Bath A,4,4,"$989 - $1,019",0,0,8,"1,472",https://www.theblockwestcampus.com//Brochure/28th---4-Bed---4-Bath-A?siteId=6511284&fId=9218417,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759889/640x640/67759889.png
23rd - 2 Bed - 2 Bath A,2,2,"$994 - $1,079",0,0,12,812,https://www.theblockwestcampus.com//Brochure/23rd---2-Bed---2-Bath-A?siteId=6511284&fId=9223964,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759612/640x640/67759612.png
28th - 2 Bed - 2 Bath A,2,2,"$999 - $1,124",0,0,23,884 - 938,https://www.theblockwestcampus.com//Brochure/28th---2-Bed---2-Bath-A?siteId=6511284&fId=9218387,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759865/640x640/67759865.png
28th - 2 Bed - 2 Bath C,2,2,"$999 - $1,084",0,0,14,886 - 930,https://www.theblockwestcampus.com//Brochure/28th---2-Bed---2-Bath-C?siteId=6511284&fId=9218409,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759927/640x640/67759927.png
28th - 2 Bed - 2 Bath D,2,2,"$1,029 - $1,109",0,0,13,880 - 938,https://www.theblockwestcampus.com//Brochure/28th---2-Bed---2-Bath-D?siteId=6511284&fId=9218411,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759926/640x640/67759926.png
25th W - 3 Bed - 2 Bath E,3,2,"$1,004 - $1,034",0,0,3,"1,185",https://www.theblockwestcampus.com//Brochure/25th-W---3-Bed---2-Bath-E?siteId=6511284&fId=9218459,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760342/640x640/67760342.png
